Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:27
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP   sigma_xx   sigma_yy     tau_xy 
Units                    MPa        MPa        MPa 
    1    64     1  1.2293752 -0.0342876 -0.0017268 
    1    64     2  1.2300645 -0.0327615  0.0043890 
    1    64     3  1.2116323 -0.0396283 -0.0023256 
    1    64     4  1.2121410 -0.0381433  0.0038452 
    1    65     1  1.2401045 -0.0347283 -0.0008012 
    1    65     2  1.2558045 -0.0299871 -0.0013155 
    1    65     3  1.2402829 -0.0353284  0.0046604 
    1    65     4  1.2563042 -0.0305134  0.0043297 
    1    66     1  1.2794677 -0.0267984 -0.0015729 
    1    66     2  1.2804073 -0.0276831  0.0036816 
    1    66     3  1.2653152 -0.0311717 -0.0005754 
    1    66     4  1.2658095 -0.0320984  0.0042779 
    1    67     1  1.2881645 -0.0276753  0.0000240 
    1    67     2  1.2994606 -0.0238361 -0.0016239 
    1    67     3  1.2886958 -0.0294361  0.0036828 
    1    67     4  1.3005236 -0.0257584  0.0026159 
    1    68     1  1.2960672 -0.0301452  0.0065904 
    1    68     2  1.2946256 -0.0261979  0.0044436 
    1    68     3  1.3053114 -0.0257509  0.0037091 
    1    68     4  1.3032913 -0.0214824  0.0014085 
    1    69     1  1.2844217 -0.0272529  0.0058250 
    1    69     2  1.2696135 -0.0327847  0.0088112 
    1    69     3  1.2815878 -0.0231528  0.0011126 
    1    69     4  1.2686040 -0.0288218  0.0045694 
    1    70     1  1.2910316 -0.0210093  0.0052245 
    1    70     2  1.2924704 -0.0280223  0.0057104 
    1    70     3  1.2829133 -0.0283774  0.0096177 
    1    70     4  1.2852948 -0.0339020  0.0094972 
    1    71     1  1.3042172 -0.0249115  0.0073401 
    1    71     2  1.3112277 -0.0192356  0.0039169 
    1    71     3  1.3057310 -0.0300498  0.0082794 
    1    71     4  1.3132389 -0.0244518  0.0047401 
    1    72     1  1.3185769 -0.0303001  0.0098961 
    1    72     2  1.3172812 -0.0234542  0.0094592 
    1    72     3  1.3260817 -0.0233833  0.0057908 
    1    72     4  1.3242313 -0.0175965  0.0057353 
    1    73     1  1.3053170 -0.0260438  0.0077033 
    1    73     2  1.2987409 -0.0315832  0.0110181 
    1    73     3  1.3039904 -0.0209339  0.0069431 
    1    73     4  1.2972049 -0.0261892  0.0102578 
    1    74     1  1.3429484 -0.0214681  0.0044105 
    1    74     2  1.3404781 -0.0278058  0.0068035 
    1    74     3  1.3444290 -0.0146433  0.0063318 
    1    74     4  1.3418585 -0.0216445  0.0083712 
    1    75     1  1.3275870 -0.0172422  0.0034902 
    1    75     2  1.3274901 -0.0224461  0.0023544 
    1    75     3  1.3244437 -0.0224814  0.0059151 
    1    75     4  1.3239855 -0.0281992  0.0050793 
    1    76     1  1.3437881 -0.0212909  0.0036166 
