Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:49
-----------------------------------------------------------------------------
Output data for request: PRINCIPAL_STRESS
Description: Principal Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP       Max.       Min.     vmax_x     vmax_y     vmin_x     vmin_y 
Units                    MPa        MPa          m          m          m          m 
    4   578     2  1.7123643 -0.0008259  0.9999999  0.0004645 -0.0004645  0.9999999 
    4   578     3  1.7159727  0.0004106  1.0000000 -0.0001937  0.0001937  1.0000000 
    4   578     4  1.7123801 -0.0006778  1.0000000 -0.0001098  0.0001098  1.0000000 
    4   579     1  1.7159549  0.0003976  1.0000000 -0.0002156  0.0002156  1.0000000 
    4   579     2  1.7159364  0.0002665  0.9999999  0.0003650 -0.0003650  0.9999999 
    4   579     3  1.7123547 -0.0006902  1.0000000 -0.0001440  0.0001440  1.0000000 
    4   579     4  1.7123404 -0.0008194  0.9999999  0.0004335 -0.0004335  0.9999999 
    4   580     1  1.7273155  0.0003758  0.9999999  0.0003487 -0.0003487  0.9999999 
    4   580     2  1.7237158 -0.0007096  0.9999999  0.0004084 -0.0004084  0.9999999 
    4   580     3  1.7273436  0.0004909  1.0000000 -0.0002158  0.0002158  1.0000000 
    4   580     4  1.7237385 -0.0005966  1.0000000 -0.0001536  0.0001536  1.0000000 
    4   581     1  1.7273607  0.0004826  1.0000000 -0.0002317  0.0002317  1.0000000 
    4   581     2  1.7273257  0.0003769  0.9999999  0.0003362 -0.0003362  0.9999999 
    4   581     3  1.7237452 -0.0006063  1.0000000 -0.0001788  0.0001788  1.0000000 
    4   581     4  1.7237174 -0.0007093  0.9999999  0.0003856 -0.0003856  0.9999999 
    4   582     1  1.7294546 -0.0005704  1.0000000 -0.0001937  0.0001937  1.0000000 
    4   582     2  1.7330718  0.0005177  1.0000000 -0.0002377  0.0002377  1.0000000 
    4   582     3  1.7294230 -0.0006542  0.9999999  0.0003654 -0.0003654  0.9999999 
    4   582     4  1.7330367  0.0004325  0.9999999  0.0003240 -0.0003240  0.9999999 
    4   583     1  1.7294012 -0.0006695  0.9999999  0.0003861 -0.0003861  0.9999999 
    4   583     2  1.7294299 -0.0005626  1.0000000 -0.0001705  0.0001705  1.0000000 
    4   583     3  1.7330075  0.0004169  0.9999999  0.0003318 -0.0003318  0.9999999 
    4   583     4  1.7330406  0.0005256  1.0000000 -0.0002275  0.0002275  1.0000000 
    4   584     1  1.7294208 -0.0005569  1.0000000 -0.0001511  0.0001511  1.0000000 
    4   584     2  1.7330217  0.0005302  1.0000000 -0.0002176  0.0002176  1.0000000 
    4   584     3  1.7294011 -0.0006765  0.9999999  0.0004065 -0.0004065  0.9999999 
    4   584     4  1.7329965  0.0004085  0.9999999  0.0003422 -0.0003422  0.9999999 
    4   585     1  1.7294106 -0.0006837  0.9999999  0.0004250 -0.0004250  0.9999999 
    4   585     2  1.7294258 -0.0005494  1.0000000 -0.0001295  0.0001295  1.0000000 
    4   585     3  1.7329966  0.0004006  0.9999999  0.0003510 -0.0003510  0.9999999 
    4   585     4  1.7330171  0.0005370  1.0000000 -0.0002059  0.0002059  1.0000000 
    4   586     1  1.7273318  0.0003567  0.9999999  0.0003743 -0.0003743  0.9999999 
    4   586     2  1.7237496 -0.0007282  0.9999999  0.0004559 -0.0004559  0.9999999 
    4   586     3  1.7273475  0.0005045  1.0000000 -0.0001874  0.0001874  1.0000000 
    4   586     4  1.7237598 -0.0005827  1.0000000 -0.0001035  0.0001035  1.0000000 
    4   587     1  1.7273366  0.0004980  1.0000000 -0.0002027  0.0002027  1.0000000 
    4   587     2  1.7273167  0.0003662  0.9999999  0.0003625 -0.0003625  0.9999999 
    4   587     3  1.7237403 -0.0005891  1.0000000 -0.0001292  0.0001292  1.0000000 
    4   587     4  1.7237255 -0.0007188  0.9999999  0.0004333 -0.0004333  0.9999999 
    4   588     1  1.7180737 -0.0006216  1.0000000 -0.0001023  0.0001023  1.0000000 
    4   588     2  1.7216603  0.0004664  1.0000000 -0.0001910  0.0001910  1.0000000 
    4   588     3  1.7180612 -0.0007769  0.9999999  0.0004659 -0.0004659  0.9999999 
    4   588     4  1.7216409  0.0003082  0.9999999  0.0003805 -0.0003805  0.9999999 
    4   589     1  1.7180985 -0.0007872  0.9999999  0.0004927 -0.0004927  0.9999999 
    4   589     2  1.7181089 -0.0006114  1.0000000 -0.0000717  0.0000717  1.0000000 
    4   589     3  1.7216674  0.0002983  0.9999999  0.0003945 -0.0003945  0.9999999 
    4   589     4  1.7216836  0.0004768  1.0000000 -0.0001732  0.0001732  1.0000000 
    4   590     1  1.7160213  0.0002409  0.9999999  0.0004208 -0.0004208  0.9999999 
    4   590     2  1.7124568 -0.0008457  0.9999999  0.0005268 -0.0005268  0.9999999 
    4   590     3  1.7160321  0.0004323  1.0000000 -0.0001538  0.0001538  1.0000000 
    4   590     4  1.7124614 -0.0006573  1.0000000 -0.0000441  0.0000441  1.0000000 
    4   591     1  1.7159929  0.0004195  1.0000000 -0.0001744  0.0001744  1.0000000 
    4   591     2  1.7159798  0.0002487  0.9999999  0.0004033 -0.0004033  0.9999999 
    4   591     3  1.7124120 -0.0006689  1.0000000 -0.0000779  0.0000779  1.0000000 
    4   591     4  1.7124036 -0.0008375  0.9999999  0.0004968 -0.0004968  0.9999999 
    4   592     1  1.7181637 -0.0006039  1.0000000 -0.0000452  0.0000452  1.0000000 
    4   592     2  1.7217221  0.0004834  1.0000000 -0.0001586  0.0001586  1.0000000 
    4   592     3  1.7181817 -0.0007899  0.9999999  0.0005211 -0.0005211  0.9999999 
    4   592     4  1.7217298  0.0002931  0.9999999  0.0004115 -0.0004115  0.9999999 
    4   593     1  1.7182948 -0.0007982  0.9999999  0.0005466 -0.0005466  0.9999999 
    4   593     2  1.7182651 -0.0005965  1.0000000 -0.0000158  0.0000158  1.0000000 
    4   593     3  1.7218243  0.0002839  0.9999999  0.0004246 -0.0004246  0.9999999 
    4   593     4  1.7218023  0.0004890  1.0000000 -0.0001411  0.0001411  1.0000000 
    4   594     1  1.7162223  0.0002303  0.9999999  0.0004574 -0.0004574  0.9999999 
    4   594     2  1.7126923 -0.0008549  0.9999998  0.0005875 -0.0005875  0.9999998 
    4   594     3  1.7161906  0.0004481  1.0000000 -0.0001151  0.0001151  1.0000000 
    4   594     4  1.7126518 -0.0006414  1.0000000  0.0000193 -0.0000193  1.0000000 
    4   595     1  1.7160875  0.0004365  1.0000000 -0.0001352  0.0001352  1.0000000 
    4   595     2  1.7161071  0.0002357  0.9999999  0.0004408 -0.0004408  0.9999999 
    4   595     3  1.7125334 -0.0006522  1.0000000 -0.0000143  0.0000143  1.0000000 
    4   595     4  1.7125577 -0.0008504  0.9999998  0.0005585 -0.0005585  0.9999998 
    4   596     1  1.7274502  0.0003469  0.9999999  0.0004013 -0.0004013  0.9999999 
    4   596     2  1.7238994 -0.0007336  0.9999999  0.0005006 -0.0005006  0.9999999 
    4   596     3  1.7274308  0.0005118  1.0000000 -0.0001595  0.0001595  1.0000000 
    4   596     4  1.7238706 -0.0005724  1.0000000 -0.0000577  0.0000577  1.0000000 
    4   597     1  1.7273710  0.0005066  1.0000000 -0.0001746  0.0001746  1.0000000 
    4   597     2  1.7273781  0.0003528  0.9999999  0.0003894 -0.0003894  0.9999999 
    4   597     3  1.7237964 -0.0005790  1.0000000 -0.0000822  0.0000822  1.0000000 
    4   597     4  1.7238097 -0.0007302  0.9999999  0.0004794 -0.0004794  0.9999999 
    4   598     1  1.7294480 -0.0005450  1.0000000 -0.0001118  0.0001118  1.0000000 
    4   598     2  1.7330255  0.0005394  1.0000000 -0.0001965  0.0001965  1.0000000 
    4   598     3  1.7294532 -0.0006866  0.9999999  0.0004454 -0.0004454  0.9999999 
    4   598     4  1.7330215  0.0003945  0.9999999  0.0003629 -0.0003629  0.9999999 
    4   599     1  1.7295167 -0.0006895  0.9999999  0.0004630 -0.0004630  0.9999999 
    4   599     2  1.7295014 -0.0005356  1.0000000 -0.0000901  0.0000901  1.0000000 
    4   599     3  1.7330649  0.0003882  0.9999999  0.0003713 -0.0003713  0.9999999 
    4   599     4  1.7330605  0.0005461  1.0000000 -0.0001848  0.0001848  1.0000000 
    4   600     1  1.7295855 -0.0005333  1.0000000 -0.0000734  0.0000734  1.0000000 
    4   600     2  1.7331164  0.0005421  1.0000000 -0.0001747  0.0001747  1.0000000 
    4   600     3  1.7296348 -0.0006875  0.9999999  0.0004820 -0.0004820  0.9999999 
    4   600     4  1.7331493  0.0003824  0.9999999  0.0003828 -0.0003828  0.9999999 
    4   601     1  1.7297835 -0.0006842  0.9999999  0.0004974 -0.0004974  0.9999999 
    4   601     2  1.7297175 -0.0005231  1.0000000 -0.0000516  0.0000516  1.0000000 
    4   601     3  1.7332597  0.0003768  0.9999999  0.0003911 -0.0003911  0.9999999 
    4   601     4  1.7332135  0.0005446  1.0000000 -0.0001607  0.0001607  1.0000000 
    4   602     1  1.7277378  0.0003366  0.9999999  0.0004235 -0.0004235  0.9999999 
    4   602     2  1.7242611 -0.0007287  0.9999999  0.0005418 -0.0005418  0.9999999 
    4   602     3  1.7276622  0.0005129  1.0000000 -0.0001321  0.0001321  1.0000000 
    4   602     4  1.7241664 -0.0005592  1.0000000 -0.0000102  0.0000102  1.0000000 
    4   603     1  1.7275152  0.0005125  1.0000000 -0.0001477  0.0001477  1.0000000 
    4   603     2  1.7275729  0.0003470  0.9999999  0.0004151 -0.0004151  0.9999999 
    4   603     3  1.7239832 -0.0005664  1.0000000 -0.0000364  0.0000364  1.0000000 
    4   603     4  1.7240561 -0.0007262  0.9999999  0.0005224 -0.0005224  0.9999999 
    4   604     1  1.7184070 -0.0005922  1.0000000  8.64e-006 -8.64e-006  1.0000000 
    4   604     2  1.7219150  0.0004888  1.0000000 -0.0001268  0.0001268  1.0000000 
    4   604     3  1.7184942 -0.0007904  0.9999998  0.0005722 -0.0005722  0.9999998 
    4   604     4  1.7219867  0.0002844  0.9999999  0.0004411 -0.0004411  0.9999999 
    4   605     1  1.7187445 -0.0007915  0.9999998  0.0005944 -0.0005944  0.9999998 
    4   605     2  1.7186339 -0.0005810  1.0000000  0.0000389 -0.0000389  1.0000000 
    4   605     3  1.7221982  0.0002776  0.9999999  0.0004506 -0.0004506  0.9999999 
    4   605     4  1.7221038  0.0004950  1.0000000 -0.0001102  0.0001102  1.0000000 
    4   606     1  1.7166746  0.0002279  0.9999999  0.0004894 -0.0004894  0.9999999 
    4   606     2  1.7132125 -0.0008486  0.9999998  0.0006443 -0.0006443  0.9999998 
    4   606     3  1.7165557  0.0004582  1.0000000 -0.0000784  0.0000784  1.0000000 
    4   606     4  1.7130796 -0.0006252  1.0000000  0.0000825 -0.0000825  1.0000000 
    4   607     1  1.7163272  0.0004459  1.0000000 -0.0000971  0.0000971  1.0000000 
    4   607     2  1.7164193  0.0002302  0.9999999  0.0004763 -0.0004763  0.9999999 
    4   607     3  1.7128207 -0.0006389  1.0000000  0.0000483 -0.0000483  1.0000000 
    4   607     4  1.7129202 -0.0008506  0.9999998  0.0006176 -0.0006176  0.9999998 
    4   608     1  1.7189377 -0.0005772  1.0000000  0.0000639 -0.0000639  1.0000000 
    4   608     2  1.7223441  0.0004864  1.0000000 -0.0000979  0.0000979  1.0000000 
    4   608     3  1.7191422 -0.0007733  0.9999998  0.0006154 -0.0006154  0.9999998 
    4   608     4  1.7225204  0.0002788  0.9999999  0.0004612 -0.0004612  0.9999999 
    4   609     1  1.7196549 -0.0007697  0.9999998  0.0006313 -0.0006313  0.9999998 
    4   609     2  1.7193974 -0.0005682  1.0000000  0.0000961 -0.0000961  1.0000000 
    4   609     3  1.7229450  0.0002654  0.9999999  0.0004612 -0.0004612  0.9999999 
    4   609     4  1.7227173  0.0004805  1.0000000 -0.0000838  0.0000838  1.0000000 
    4   610     1  1.7175652  0.0002381  0.9999999  0.0005037 -0.0005037  0.9999999 
    4   610     2  1.7142163 -0.0008230  0.9999998  0.0006900 -0.0006900  0.9999998 
    4   610     3  1.7172858  0.0004670  1.0000000 -0.0000532  0.0000532  1.0000000 
    4   610     4  1.7139244 -0.0006034  1.0000000  0.0001436 -0.0001436  1.0000000 
    4   611     1  1.7168435  0.0004531  1.0000000 -0.0000628  0.0000628  1.0000000 
    4   611     2  1.7170618  0.0002340  0.9999999  0.0005021 -0.0005021  0.9999999 
    4   611     3  1.7134298 -0.0006193  1.0000000  0.0001117 -0.0001117  1.0000000 
    4   611     4  1.7136590 -0.0008321  0.9999998  0.0006701 -0.0006701  0.9999998 
    4   612     1  1.7282893  0.0003233  0.9999999  0.0004427 -0.0004427  0.9999999 
    4   612     2  1.7249895 -0.0006968  0.9999998  0.0005770 -0.0005770  0.9999998 
    4   612     3  1.7281245  0.0004962  1.0000000 -0.0000956  0.0000956  1.0000000 
    4   612     4  1.7247787 -0.0005399  1.0000000  0.0000453 -0.0000453  1.0000000 
    4   613     1  1.7278456  0.0005008  1.0000000 -0.0001179  0.0001179  1.0000000 
    4   613     2  1.7279852  0.0003370  0.9999999  0.0004357 -0.0004357  0.9999999 
    4   613     3  1.7244101 -0.0005563  1.0000000  0.0000113 -0.0000113  1.0000000 
    4   613     4  1.7245783 -0.0007100  0.9999998  0.0005601 -0.0005601  0.9999998 
    4   614     1  1.7298951 -0.0005170  1.0000000 -0.0000345  0.0000345  1.0000000 
    4   614     2  1.7333366  0.0005362  1.0000000 -0.0001479  0.0001479  1.0000000 
    4   614     3  1.7300161 -0.0006672  0.9999999  0.0005136 -0.0005136  0.9999999 
    4   614     4  1.7334239  0.0003751  0.9999999  0.0004030 -0.0004030  0.9999999 
    4   615     1  1.7302830 -0.0006517  0.9999999  0.0005258 -0.0005258  0.9999999 
    4   615     2  1.7301457 -0.0004927  1.0000000 -0.0000105  0.0000105  1.0000000 
    4   615     3  1.7336075  0.0003684  0.9999999  0.0004092 -0.0004092  0.9999999 
    4   615     4  1.7335152  0.0005416  1.0000000 -0.0001298  0.0001298  1.0000000 
    4   616     1  1.7304048 -0.0004935  1.0000000 -5.77e-006  5.77e-006  1.0000000 
    4   616     2  1.7337042  0.0005163  1.0000000 -0.0001148  0.0001148  1.0000000 
    4   616     3  1.7305850 -0.0006234  0.9999999  0.0005285 -0.0005285  0.9999999 
    4   616     4  1.7338216  0.0003685  0.9999999  0.0004178 -0.0004178  0.9999999 
    4   617     1  1.7308250 -0.0006078  0.9999999  0.0005148 -0.0005148  0.9999999 
    4   617     2  1.7306874 -0.0005081  1.0000000 -0.0000128  0.0000128  1.0000000 
    4   617     3  1.7339886  0.0003553  0.9999999  0.0004247 -0.0004247  0.9999999 
    4   617     4  1.7339084  0.0004697  1.0000000 -0.0000947  0.0000947  1.0000000 
    4   618     1  1.7290006  0.0003039  0.9999999  0.0004509 -0.0004509  0.9999999 
    4   618     2  1.7260219 -0.0006224  0.9999998  0.0005845 -0.0005845  0.9999998 
    4   618     3  1.7288323  0.0004669  1.0000000 -0.0000407  0.0000407  1.0000000 
    4   618     4  1.7257154 -0.0004972  1.0000000  0.0000872 -0.0000872  1.0000000 
    4   619     1  1.7284489  0.0005039  1.0000000 -0.0000625  0.0000625  1.0000000 
    4   619     2  1.7286546  0.0003141  0.9999999  0.0004502 -0.0004502  0.9999999 
    4   619     3  1.7252719 -0.0004893  1.0000000  0.0000895 -0.0000895  1.0000000 
    4   619     4  1.7255683 -0.0006491  0.9999998  0.0005943 -0.0005943  0.9999998 
    4   620     1  1.7200679 -0.0005540  1.0000000  0.0001470 -0.0001470  1.0000000 
    4   620     2  1.7231764  0.0004526  1.0000000 -0.0000621  0.0000621  1.0000000 
    4   620     3  1.7204760 -0.0007283  0.9999998  0.0006446 -0.0006446  0.9999998 
    4   620     4  1.7235295  0.0002490  0.9999999  0.0004592 -0.0004592  0.9999999 
    4   621     1  1.7218989 -0.0006447  0.9999998  0.0006356 -0.0006356  0.9999998 
    4   621     2  1.7214024 -0.0004157  1.0000000  0.0002780 -0.0002780  1.0000000 
    4   621     3  1.7241901  0.0001446  0.9999999  0.0004312 -0.0004312  0.9999999 
    4   621     4  1.7238914  0.0004552  1.0000000  0.0000423 -0.0000423  1.0000000 
    4   622     1  1.7192859  0.0002907  0.9999999  0.0004526 -0.0004526  0.9999999 
    4   622     2  1.7163429 -0.0007576  0.9999997  0.0007494 -0.0007494  0.9999997 
    4   622     3  1.7185289  0.0006154  1.0000000 -0.0000504  0.0000504  1.0000000 
    4   622     4  1.7157935 -0.0004604  0.9999999  0.0003246 -0.0003246  0.9999999 
    4   623     1  1.7178598  0.0004634  1.0000000 -0.0000601  0.0000601  1.0000000 
    4   623     2  1.7183269  0.0002545  0.9999999  0.0004896 -0.0004896  0.9999999 
    4   623     3  1.7145910 -0.0005993  1.0000000  0.0001644 -0.0001644  1.0000000 
    4   623     4  1.7150374 -0.0008063  0.9999998  0.0007014 -0.0007014  0.9999998 
    4   624     1  1.7204284  0.0004402  0.9999999  0.0003469 -0.0003469  0.9999999 
    4   624     2  1.7201866 -0.0002278  1.0000000  0.0002216 -0.0002216  1.0000000 
    4   624     3  1.7202640 -0.0002412  0.9999999  0.0004463 -0.0004463  0.9999999 
    4   624     4  1.7201265 -0.0005623  0.9999999  0.0003273 -0.0003273  0.9999999 
    4   625     1  1.7218330 -0.0005657  1.0000000  0.0002258 -0.0002258  1.0000000 
    4   625     2  1.7246032  0.0003043  1.0000000  0.0000798 -0.0000798  1.0000000 
    4   625     3  1.7225943 -0.0006652  0.9999998  0.0006292 -0.0006292  0.9999998 
    4   625     4  1.7248125  0.0000769  0.9999999  0.0004527 -0.0004527  0.9999999 
    4   626     1  1.7218148 -0.0006000  0.9999999  0.0004445 -0.0004445  0.9999999 
    4   626     2  1.7225618 -0.0005876  1.0000000  0.0000144 -0.0000144  1.0000000 
    4   626     3  1.7245875  0.0002399  0.9999999  0.0005210 -0.0005210  0.9999999 
    4   626     4  1.7247921  0.0001170  1.0000000  0.0001370 -0.0001370  1.0000000 
    4   627     1  1.7290971  0.0002553  0.9999999  0.0005326 -0.0005326  0.9999999 
    4   627     2  1.7261343 -0.0006335  0.9999999  0.0005437 -0.0005437  0.9999999 
    4   627     3  1.7291958  0.0003210  1.0000000  0.0000536 -0.0000536  1.0000000 
    4   627     4  1.7263013 -0.0005452  1.0000000  0.0000349 -0.0000349  1.0000000 
    4   628     1  1.7291228  0.0003092  1.0000000 -9.56e-006  9.56e-006  1.0000000 
    4   628     2  1.7292316  0.0002893  0.9999999  0.0004669 -0.0004669  0.9999999 
    4   628     3  1.7261503 -0.0005850  1.0000000  0.0000273 -0.0000273  1.0000000 
    4   628     4  1.7263338 -0.0005855  0.9999999  0.0005309 -0.0005309  0.9999999 
    4   629     1  1.7308800 -0.0005424  1.0000000 -0.0000254  0.0000254  1.0000000 
    4   629     2  1.7340292  0.0004051  1.0000000 -0.0000652  0.0000652  1.0000000 
    4   629     3  1.7309575 -0.0006008  0.9999999  0.0005076 -0.0005076  0.9999999 
    4   629     4  1.7340731  0.0003391  0.9999999  0.0004524 -0.0004524  0.9999999 
    4   630     1  1.7308407 -0.0005970  0.9999999  0.0005079 -0.0005079  0.9999999 
    4   630     2  1.7309182 -0.0005423  1.0000000 -0.0000294  0.0000294  1.0000000 
    4   630     3  1.7339755  0.0003438  0.9999999  0.0004922 -0.0004922  0.9999999 
    4   630     4  1.7340292  0.0003905  1.0000000 -0.0000292  0.0000292  1.0000000 
    4   631     1  1.7288867  0.0003240  1.0000000  0.0000697 -0.0000697  1.0000000 
    4   631     2  1.7287232  0.0004088  0.9999998  0.0005840 -0.0005840  0.9999998 
    4   631     3  1.7259300 -0.0005774  1.0000000 -0.0000201  0.0000201  1.0000000 
    4   631     4  1.7256395 -0.0005280  0.9999999  0.0005027 -0.0005027  0.9999999 
    4   632     1  1.7307049 -0.0005522  1.0000000 -0.0000425  0.0000425  1.0000000 
    4   632     2  1.7338445  0.0003915  1.0000000 -4.80e-006  4.80e-006  1.0000000 
    4   632     3  1.7305593 -0.0005607  0.9999999  0.0005106 -0.0005106  0.9999999 
    4   632     4  1.7337529  0.0003985  0.9999999  0.0005372 -0.0005372  0.9999999 
    4   633     1  1.7301747 -0.0005352  0.9999999  0.0005115 -0.0005115  0.9999999 
    4   633     2  1.7303611 -0.0005687  1.0000000 -0.0000544  0.0000544  1.0000000 
    4   633     3  1.7334337  0.0004479  0.9999998  0.0005692 -0.0005692  0.9999998 
    4   633     4  1.7335634  0.0003982  1.0000000  7.16e-006 -7.16e-006  1.0000000 
    4   634     1  1.7282533  0.0004404  0.9999998  0.0006216 -0.0006216  0.9999998 
    4   634     2  1.7251226 -0.0005194  0.9999999  0.0005128 -0.0005128  0.9999999 
    4   634     3  1.7284498  0.0003186  1.0000000  0.0000840 -0.0000840  1.0000000 
    4   634     4  1.7254033 -0.0006153  1.0000000 -0.0000218  0.0000218  1.0000000 
    4   635     1  1.7200080 -0.0005959  0.9999998  0.0005695 -0.0005695  0.9999998 
    4   635     2  1.7203950 -0.0006728  1.0000000  0.0000393 -0.0000393  1.0000000 
    4   635     3  1.7230734  0.0003578  0.9999997  0.0007144 -0.0007144  0.9999997 
    4   635     4  1.7234113  0.0002601  1.0000000  0.0001665 -0.0001665  1.0000000 
    4   636     1  1.7179087  0.0003384  0.9999997  0.0008086 -0.0008086  0.9999997 
    4   636     2  1.7147158 -0.0006543  0.9999998  0.0006611 -0.0006611  0.9999998 
    4   636     3  1.7183323  0.0002474  1.0000000  0.0002386 -0.0002386  1.0000000 
    4   636     4  1.7151069 -0.0007531  1.0000000  0.0000960 -0.0000960  1.0000000 
    4   637     1  1.7193326  0.0003128  1.0000000  0.0002421 -0.0002421  1.0000000 
    4   637     2  1.7186085  0.0005119  0.9999997  0.0008032 -0.0008032  0.9999997 
    4   637     3  1.7162908 -0.0006921  1.0000000  0.0000145 -0.0000145  1.0000000 
    4   637     4  1.7157882 -0.0004896  0.9999999  0.0004939 -0.0004939  0.9999999 
    4   638     1  1.7218304 -0.0005855  1.0000000  0.0000145 -0.0000145  1.0000000 
    4   638     2  1.7241362  0.0001636  1.0000000  0.0001689 -0.0001689  1.0000000 
    4   638     3  1.7213489 -0.0004325  0.9999999  0.0004104 -0.0004104  0.9999999 
    4   638     4  1.7238460  0.0003873  0.9999998  0.0005894 -0.0005894  0.9999998 
    4   639     1  1.7175094  0.0002240  1.0000000  0.0002516 -0.0002516  1.0000000 
    4   639     2  1.7172511  0.0003682  0.9999997  0.0008336 -0.0008336  0.9999997 
    4   639     3  1.7142832 -0.0007749  1.0000000  0.0001139 -0.0001139  1.0000000 
    4   639     4  1.7140066 -0.0006367  0.9999998  0.0006941 -0.0006941  0.9999998 
    4   640     1  1.7195255 -0.0007202  1.0000000  0.0000582 -0.0000582  1.0000000 
    4   640     2  1.7227406  0.0002681  1.0000000  0.0001784 -0.0001784  1.0000000 
    4   640     3  1.7192778 -0.0006012  0.9999998  0.0006372 -0.0006372  0.9999998 
    4   640     4  1.7225241  0.0003978  0.9999997  0.0007616 -0.0007616  0.9999997 
    4   641     1  1.7186945 -0.0005977  0.9999998  0.0006723 -0.0006723  0.9999998 
    4   641     2  1.7189151 -0.0007294  1.0000000  0.0000770 -0.0000770  1.0000000 
    4   641     3  1.7220000  0.0004174  0.9999997  0.0007930 -0.0007930  0.9999997 
    4   641     4  1.7221924  0.0002768  1.0000000  0.0001960 -0.0001960  1.0000000 
    4   642     1  1.7166635  0.0003936  0.9999996  0.0008626 -0.0008626  0.9999996 
    4   642     2  1.7133859 -0.0006224  0.9999997  0.0007208 -0.0007208  0.9999997 
    4   642     3  1.7168864  0.0002218  1.0000000  0.0002715 -0.0002715  1.0000000 
    4   642     4  1.7136301 -0.0007879  1.0000000  0.0001302 -0.0001302  1.0000000 
    4   643     1  1.7273956  0.0004532  0.9999997  0.0007162 -0.0007162  0.9999997 
    4   643     2  1.7240302 -0.0005727  0.9999998  0.0006148 -0.0006148  0.9999998 
    4   643     3  1.7275404  0.0003322  1.0000000  0.0001163 -0.0001163  1.0000000 
    4   643     4  1.7242112 -0.0006827  1.0000000  0.0000160 -0.0000160  1.0000000 
    4   644     1  1.7279735  0.0003224  1.0000000  0.0000981 -0.0000981  1.0000000 
    4   644     2  1.7278147  0.0004428  0.9999998  0.0006779 -0.0006779  0.9999998 
    4   644     3  1.7247322 -0.0006673  1.0000000 -3.86e-006  3.86e-006  1.0000000 
    4   644     4  1.7245354 -0.0005590  0.9999998  0.0005726 -0.0005726  0.9999998 
    4   645     1  1.7299489 -0.0006099  1.0000000 -0.0000553  0.0000553  1.0000000 
    4   645     2  1.7332258  0.0003822  1.0000000  0.0000187 -0.0000187  1.0000000 
    4   645     3  1.7298026 -0.0005309  0.9999999  0.0005307 -0.0005307  0.9999999 
    4   645     4  1.7331223  0.0004737  0.9999998  0.0006035 -0.0006035  0.9999998 
    4   646     1  1.7294108 -0.0005468  0.9999998  0.0005618 -0.0005618  0.9999998 
    4   646     2  1.7295467 -0.0006277  1.0000000 -0.0000424  0.0000424  1.0000000 
    4   646     3  1.7327957  0.0004776  0.9999998  0.0006368 -0.0006368  0.9999998 
    4   646     4  1.7329002  0.0003873  1.0000000  0.0000326 -0.0000326  1.0000000 
    4   647     1  1.7271310  0.0003282  1.0000000  0.0001307 -0.0001307  1.0000000 
    4   647     2  1.7270403  0.0004820  0.9999997  0.0007513 -0.0007513  0.9999997 
    4   647     3  1.7237269 -0.0007102  1.0000000  0.0000270 -0.0000270  1.0000000 
    4   647     4  1.7236162 -0.0005625  0.9999998  0.0006469 -0.0006469  0.9999998 
    4   648     1  1.7291601 -0.0006543  1.0000000 -0.0000339  0.0000339  1.0000000 
    4   648     2  1.7325755  0.0003804  1.0000000  0.0000458 -0.0000458  1.0000000 
    4   648     3  1.7290699 -0.0005440  0.9999998  0.0005897 -0.0005897  0.9999998 
    4   648     4  1.7325098  0.0004978  0.9999998  0.0006689 -0.0006689  0.9999998 
    4   649     1  1.7287503 -0.0005459  0.9999998  0.0006161 -0.0006161  0.9999998 
    4   649     2  1.7288266 -0.0006633  1.0000000 -0.0000216  0.0000216  1.0000000 
    4   649     3  1.7322285  0.0005077  0.9999998  0.0006964 -0.0006964  0.9999998 
    4   649     4  1.7322857  0.0003845  1.0000000  0.0000589 -0.0000589  1.0000000 
    4   650     1  1.7267061  0.0004919  0.9999997  0.0007819 -0.0007819  0.9999997 
    4   650     2  1.7232419 -0.0005643  0.9999998  0.0006781 -0.0006781  0.9999998 
    4   650     3  1.7267817  0.0003307  1.0000000  0.0001472 -0.0001472  1.0000000 
    4   650     4  1.7233389 -0.0007191  1.0000000  0.0000436 -0.0000436  1.0000000 
    4   651     1  1.7177878 -0.0005840  0.9999997  0.0007377 -0.0007377  0.9999997 
    4   651     2  1.7179094 -0.0007753  1.0000000  0.0001076 -0.0001076  1.0000000 
    4   651     3  1.7211972  0.0004640  0.9999996  0.0008635 -0.0008635  0.9999996 
    4   651     4  1.7212947  0.0002654  1.0000000  0.0002325 -0.0002325  1.0000000 
    4   652     1  1.7157420  0.0004345  0.9999996  0.0009424 -0.0009424  0.9999996 
    4   652     2  1.7123641 -0.0006144  0.9999997  0.0007934 -0.0007934  0.9999997 
    4   652     3  1.7158630  0.0001982  0.9999999  0.0003164 -0.0003164  0.9999999 
    4   652     4  1.7125055 -0.0008444  1.0000000  0.0001686 -0.0001686  1.0000000 
    4   653     1  1.7163293  0.0002024  1.0000000  0.0002918 -0.0002918  1.0000000 
    4   653     2  1.7161936  0.0004299  0.9999996  0.0009037 -0.0009037  0.9999996 
    4   653     3  1.7130164 -0.0008271  1.0000000  0.0001440 -0.0001440  1.0000000 
