Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:49
-----------------------------------------------------------------------------
Output data for request: PRINCIPAL_STRESS
Description: Principal Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP       Max.       Min.     vmax_x     vmax_y     vmin_x     vmin_y 
Units                    MPa        MPa          m          m          m          m 
    1    67     3  1.2887061 -0.0294464  0.9999961  0.0027939 -0.0027939  0.9999961 
    1    67     4  1.3005288 -0.0257635  0.9999981  0.0019724 -0.0019724  0.9999981 
    1    68     1  1.2960999 -0.0301780  0.9999877  0.0049692 -0.0049692  0.9999877 
    1    68     2  1.2946405 -0.0262128  0.9999943  0.0033642 -0.0033642  0.9999943 
    1    68     3  1.3053218 -0.0257612  0.9999961  0.0027865 -0.0027865  0.9999961 
    1    68     4  1.3032928 -0.0214839  0.9999994  0.0010632 -0.0010632  0.9999994 
    1    69     1  1.2844475 -0.0272787  0.9999901  0.0044408 -0.0044408  0.9999901 
    1    69     2  1.2696731 -0.0328443  0.9999771  0.0067649 -0.0067649  0.9999771 
    1    69     3  1.2815888 -0.0231538  0.9999996  0.0008527 -0.0008527  0.9999996 
    1    69     4  1.2686201 -0.0288379  0.9999938  0.0035218 -0.0035218  0.9999938 
    1    70     1  1.2910524 -0.0210301  0.9999921  0.0039819 -0.0039819  0.9999921 
    1    70     2  1.2924951 -0.0280470  0.9999907  0.0043243 -0.0043243  0.9999907 
    1    70     3  1.2829838 -0.0284479  0.9999731  0.0073339 -0.0073339  0.9999731 
    1    70     4  1.2853632 -0.0339704  0.9999741  0.0071987 -0.0071987  0.9999741 
    1    71     1  1.3042578 -0.0249520  0.9999848  0.0055222 -0.0055222  0.9999848 
    1    71     2  1.3112392 -0.0192471  0.9999957  0.0029440 -0.0029440  0.9999957 
    1    71     3  1.3057823 -0.0301011  0.9999808  0.0061978 -0.0061978  0.9999808 
    1    71     4  1.3132557 -0.0244686  0.9999937  0.0035434 -0.0035434  0.9999937 
    1    72     1  1.3186495 -0.0303727  0.9999731  0.0073360 -0.0073360  0.9999731 
    1    72     2  1.3173479 -0.0235209  0.9999751  0.0070547 -0.0070547  0.9999751 
    1    72     3  1.3261065 -0.0234081  0.9999908  0.0042910 -0.0042910  0.9999908 
    1    72     4  1.3242558 -0.0176210  0.9999909  0.0042742 -0.0042742  0.9999909 
    1    73     1  1.3053615 -0.0260883  0.9999833  0.0057858 -0.0057858  0.9999833 
    1    73     2  1.2988322 -0.0316744  0.9999657  0.0082814 -0.0082814  0.9999657 
