Výsledky

Výpočtový krok 2

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 14.2.2013 15:39:14
-----------------------------------------------------------------------------
Output data for request: REFERENCE_NODAL_COORDINATES
Description: Reference nodal coordinates
  Step: 2  Iteration: 2 at Time: 2
-----------------------------------------------------------------------------------------------
 Node       X(1)       X(2)
Units          m          m
  289  2.0500000  0.3000000
  290  2.0375000  0.2876000
  291  2.0375000  0.2753000
  292  2.0375000  0.3000000
  293  2.0250000  0.3000000
  294  2.0250000  0.2876000
  295  2.0250000  0.2753000
  296  2.0375000  0.2631000
  297  2.0250000  0.2630000
  298  2.0250000  0.2509000
  299  2.0375000  0.2509000
  300  2.0125000  0.2631000
  301  2.0125000  0.2753000
  302  2.0000000  0.2753000
  303  2.0000000  0.2630000
  304  2.0000000  0.2509000
  305  2.0125000  0.2509000
  306  2.0125000  0.2876000
  307  2.0000000  0.2876000
  308  2.0125000  0.3000000
  309  2.0000000  0.3000000
  310  1.9875000  0.2876000
  311  1.9875000  0.2753000
  312  1.9875000  0.3000000
  313  1.9750000  0.3000000
  314  1.9750000  0.2876000
  315  1.9750000  0.2753000
  316  1.9875000  0.2631000
  317  1.9750000  0.2630000
  318  1.9750000  0.2509000
  319  1.9875000  0.2509000
  320  1.9625000  0.2631000
  321  1.9625000  0.2753000
  322  1.9500000  0.2753000
  323  1.9500000  0.2630000
  324  1.9500000  0.2509000
  325  1.9625000  0.2509000
  326  1.9625000  0.2876000
  327  1.9500000  0.2876000
  328  1.9625000  0.3000000
  329  1.9500000  0.3000000
  330  1.9375000  0.2876000
  331  1.9375000  0.2753000
  332  1.9375000  0.3000000
  333  1.9250000  0.3000000
  334  1.9250000  0.2876000
  335  1.9250000  0.2753000
  336  1.9375000  0.2631000
  337  1.9250000  0.2630000
  338  1.9250000  0.2509000
  339  1.9375000  0.2509000
  340  1.9125000  0.2631000
  341  1.9125000  0.2753000
  342  1.9000000  0.2753000
  343  1.9000000  0.2630000
  344  1.9000000  0.2509000
  345  1.9125000  0.2509000
  346  1.9125000  0.2876000
  347  1.9000000  0.2876000
  348  1.9125000  0.3000000
  349  1.9000000  0.3000000
  350  1.8875000  0.2876000
  351  1.8875000  0.2753000
  352  1.8875000  0.3000000
  353  1.8750000  0.3000000
  354  1.8750000  0.2876000
  355  1.8750000  0.2753000
  356  1.8875000  0.2631000
  357  1.8750000  0.2630000
  358  1.8750000  0.2509000
  359  1.8875000  0.2509000
  360  1.8625000  0.2631000
  361  1.8625000  0.2753000
  362  1.8500000  0.2753000
  363  1.8500000  0.2630000
  364  1.8500000  0.2509000
  365  1.8625000  0.2509000
  366  1.8625000  0.2876000
  367  1.8500000  0.2876000
  368  1.8625000  0.3000000
  369  1.8500000  0.3000000
  370  1.8375000  0.2876000
  371  1.8375000  0.2753000
  372  1.8375000  0.3000000
  373  1.8250000  0.3000000
  374  1.8250000  0.2876000
  375  1.8250000  0.2753000
  376  1.8375000  0.2631000
  377  1.8250000  0.2630000
  378  1.8250000  0.2509000
  379  1.8375000  0.2509000
  380  1.8125000  0.2631000
  381  1.8125000  0.2753000
  382  1.8000000  0.2753000
  383  1.8000000  0.2630000
  384  1.8000000  0.2509000
  385  1.8125000  0.2509000
  386  1.8125000  0.2876000
  387  1.8000000  0.2876000
  388  1.8125000  0.3000000
  389  1.8000000  0.3000000
  390  1.7875000  0.2876000
  391  1.7875000  0.2753000
  392  1.7875000  0.3000000
  393  1.7750000  0.3000000
  394  1.7750000  0.2876000
  395  1.7750000  0.2753000
  396  1.7875000  0.2631000
  397  1.7750000  0.2630000
  398  1.7750000  0.2509000
  399  1.7875000  0.2509000
  400  1.7625000  0.2631000
  401  1.7625000  0.2753000
  402  1.7500000  0.2753000
  403  1.7500000  0.2630000
  404  1.7500000  0.2509000
  405  1.7625000  0.2509000
  406  1.7625000  0.2876000
  407  1.7500000  0.2876000
  408  1.7625000  0.3000000
  409  1.7500000  0.3000000
  410  1.7375000  0.2876000
  411  1.7375000  0.2753000
  412  1.7375000  0.3000000
  413  1.7250000  0.3000000
  414  1.7250000  0.2876000
  415  1.7250000  0.2753000
  416  1.7375000  0.2631000
  417  1.7250000  0.2630000
  418  1.7250000  0.2509000
  419  1.7375000  0.2509000
  420  1.7125000  0.2631000
  421  1.7125000  0.2753000
  422  1.7000000  0.2753000
  423  1.7000000  0.2630000
  424  1.7000000  0.2509000
  425  1.7125000  0.2509000
  426  1.7125000  0.2876000
  427  1.7000000  0.2876000
  428  1.7125000  0.3000000
  429  1.7000000  0.3000000
  430  1.6875000  0.2876000
  431  1.6875000  0.2753000
  432  1.6875000  0.3000000
  433  1.6750000  0.3000000
  434  1.6750000  0.2876000
  435  1.6750000  0.2753000
  436  1.6875000  0.2631000
  437  1.6750000  0.2630000
  438  1.6750000  0.2509000
