Výsledky

Výpočtový krok 2

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 14.2.2013 15:38:16
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 2  Iteration: 2 at Time: 2
-----------------------------------------------------------------------------------------------
 Node   sigma_xx   sigma_yy     tau_xy
Units        MPa        MPa        MPa
 4980 -0.1579056  0.0000915 -0.0324433
 4981 -0.1368115  0.0001357 -0.0368301
 4982 -0.1410452  0.0001219 -0.0367946
 4983 -0.1529466  0.0001204 -0.0324756
 4984 -0.1324955  0.0001632 -0.0368576
 4985 -0.1480109  0.0001278 -0.0325148
 4986 -0.1282596  0.0001804 -0.0369026
 4987 -0.1430496  0.0001602 -0.0325584
 4988 -0.1381097  0.0001723 -0.0326107
 4989 -0.1197120  0.0002377 -0.0369993
 4990 -0.1239483  0.0002140 -0.0369405
 4991 -0.1331452  0.0002060 -0.0326681
 4992 -0.1154049  0.0002722 -0.0370518
 4993 -0.1282002  0.0002196 -0.0327339
 4994 -0.1111680  0.0002960 -0.0371231
 4995 -0.1232326  0.0002526 -0.0328046
 4996 -0.1182828  0.0002646 -0.0328834
 4997 -0.1026317  0.0003525 -0.0372729
 4998 -0.1068672  0.0003307 -0.0371880
 4999 -0.1133118  0.0002900 -0.0329654
 5000 -0.0983370  0.0003767 -0.0373493
 5001 -0.1083574  0.0002917 -0.0330518
 5002 -0.0941027  0.0003829 -0.0374407
 5003 -0.1033844  0.0003004 -0.0331366
 5004 -0.0984272  0.0002801 -0.0332195
 5005 -0.0855841  0.0003637 -0.0376067
 5006 -0.0898159  0.0003863 -0.0375189
 5007 -0.0934545  0.0002561 -0.0332917
 5008 -0.0813046  0.0003236 -0.0376719
 5009 -0.0884982  0.0001949 -0.0333491
 5010 -0.0770750  0.0002452 -0.0377323
 5011 -0.0835315  0.0001179 -0.0333801
 5012 -0.0785842 -7.04e-006 -0.0333769
 5013 -0.0685782 -0.0000268 -0.0377510
 5014 -0.0728041  0.0001363 -0.0377538
 5015 -0.0736345 -0.0001631 -0.0333233
 5016 -0.0643170 -0.0002409 -0.0376839
 5017 -0.0687115 -0.0003788 -0.0332063
 5018 -0.0600987 -0.0005268 -0.0375600
 5019 -0.0638007 -0.0006387 -0.0330056
 5020 -0.0589216 -0.0009667 -0.0327075
 5021 -0.0516497 -0.0013156 -0.0370136
 5022 -0.0558556 -0.0008794 -0.0373353
 5023 -0.0540806 -0.0013483 -0.0322870
 5024 -0.0474404 -0.0018327 -0.0365576
 5025 -0.0493143 -0.0017967 -0.0317212
 5026 -0.0432758 -0.0024403 -0.0359475
 5027 -0.0446124 -0.0022917 -0.0309823
 5028 -0.0400295 -0.0028383 -0.0300754
 5029 -0.0351442 -0.0038543 -0.0341272
 5030 -0.0391687 -0.0031134 -0.0351408
 5031 -0.0355579 -0.0034069 -0.0289603
 5032 -0.0311872 -0.0046323 -0.0328894
 5033 -0.0312685 -0.0039897 -0.0276367
 5034 -0.0273719 -0.0054330 -0.0314202
 5035 -0.0271725 -0.0045492 -0.0261038
 5036 -0.0233165 -0.0050683 -0.0243810
 5037 -0.0202746 -0.0069310 -0.0277609
 5038 -0.0237188 -0.0062094 -0.0297059
 5039 -0.0197217 -0.0055093 -0.0224771
 5040 -0.0170624 -0.0075477 -0.0256003
 5041 -0.0164347 -0.0058587 -0.0204371
 5042 -0.0141405 -0.0080363 -0.0232714
 5043 -0.0134691 -0.0060758 -0.0182821
 5044 -0.0115237 -0.0083394 -0.0208048
 5045 -0.0108451 -0.0061573 -0.0160661
 5046 -0.0092319 -0.0084490 -0.0182671
 5047 -0.0091790 -0.0108859 -0.0229946
 5048 -0.0114743 -0.0104744 -0.0257548
 5049 -0.0072071 -0.0110391 -0.0201502
 5050 -0.0048501 -0.0138937 -0.0217103
 5051 -0.0065109 -0.0137020 -0.0248695
 5052 -0.0084918 -0.0131612 -0.0279181
 5053 -0.0055601 -0.0109213 -0.0172983
 5054 -0.0035264 -0.0137401 -0.0185461
 5055 -0.0072640 -0.0083674 -0.0157288
 5056 -0.0056201 -0.0080935 -0.0132482
 5057 -0.0042283 -0.0105416 -0.0145160
 5058 -0.0025237 -0.0132409 -0.0154748
 5059 -0.0085626 -0.0060991 -0.0138486
 5060 -0.0066192 -0.0059027 -0.0116773
 5061 -0.0049926 -0.0055745 -0.0095953
 5062 -0.0036666 -0.0051530 -0.0076603
 5063 -0.0032026 -0.0070474 -0.0086831
 5064 -0.0042717 -0.0076349 -0.0108771
 5065 -0.0031810 -0.0099283 -0.0118727
 5066 -0.0023991 -0.0091405 -0.0094441
 5067 -0.0013426 -0.0114045 -0.0099286
 5068 -0.0018087 -0.0124355 -0.0125761
 5069 -0.0018234 -0.0082051 -0.0072553
 5070 -0.0010576 -0.0101954 -0.0075714
 5071 -0.0023658 -0.0063476 -0.0066909
 5072 -0.0017309 -0.0055820 -0.0049282
 5073 -0.0014180 -0.0071993 -0.0053402
 5074 -0.0009144 -0.0089039 -0.0055388
 5075 -0.0026051 -0.0046538 -0.0058968
 5076 -0.0017759 -0.0041045 -0.0043259
 5077 -0.0011376 -0.0061679 -0.0037080
 5078 -0.0012573 -0.0047959 -0.0034115
 5079 -0.0009090 -0.0040156 -0.0021323
 5080 -0.0009429 -0.0051459 -0.0023458
 5081 -0.0008381 -0.0063059 -0.0024190
 5082 -0.0008534 -0.0075879 -0.0038239
 5083 -0.0011459 -0.0035360 -0.0029632
 5084 -0.0006785 -0.0029654 -0.0018061
 5085 -0.0003423 -0.0024114 -0.0008501
 5086 -0.0006566 -0.0032650 -0.0010834
 5087 -0.0001097 -0.0018917 -0.0000847
 5088 -0.0004730 -0.0025620 -0.0002483
 5089  0.0000430 -0.0014105  0.0005056
 5090  0.0001351 -0.0009689  0.0009369
 5091 -0.0002379 -0.0013241  0.0008637
 5092 -0.0003385 -0.0019150  0.0003938
 5093  0.0001820 -0.0005620  0.0012263
 5094 -0.0001625 -0.0007858  0.0011818
 5095  0.0001956 -0.0001828  0.0013878
 5096 -0.0001058 -0.0002892  0.0013648
 5097  0.0001831  0.0001770  0.0014341
 5098 -0.0000635  0.0001763  0.0014281
 5099 -0.0004358 -0.0010250  0.0011075
 5100 -0.0003506 -0.0004098  0.0012982
 5101 -0.0005523 -0.0005317  0.0012055
 5102 -0.0006548 -0.0012613  0.0010224
 5103 -0.0007365 -0.0020680  0.0007078
 5104 -0.0005198 -0.0016988  0.0007813
 5105 -0.0002669  0.0001639  0.0013710
 5106 -0.0004373  0.0001451  0.0012753
 5107 -0.0008396 -0.0014796  0.0009315
 5108 -0.0007261 -0.0006403  0.0010909
 5109 -0.0008836 -0.0007284  0.0009592
 5110 -0.0010077 -0.0016592  0.0008397
 5111 -0.0010717 -0.0027125  0.0006120
 5112 -0.0009128 -0.0024145  0.0006506
 5113 -0.0005844  0.0001291  0.0011478
 5114 -0.0007185  0.0001202  0.0009926
 5115 -0.0011734 -0.0017909  0.0007444
 5116 -0.0010360 -0.0007821  0.0008108
 5117 -0.0011873 -0.0007978  0.0006435
 5118 -0.0013448 -0.0018580  0.0006394
 5119 -0.0014120 -0.0030881  0.0005748
 5120 -0.0012338 -0.0029444  0.0005897
 5121 -0.0008469  0.0001247  0.0008116
 5122 -0.0009724  0.0001449  0.0006072
 5123 -0.0015242 -0.0018505  0.0005149
 5124 -0.0013373 -0.0007676  0.0004510
 5125 -0.0014789 -0.0006841  0.0002270
 5126 -0.0017053 -0.0017647  0.0003607
 5127 -0.0018342 -0.0030595  0.0005083
 5128 -0.0016132 -0.0031305  0.0005539
 5129 -0.0010911  0.0001860  0.0003746
 5130 -0.0011958  0.0002528  0.0001152
 5131 -0.0018735 -0.0015972  0.0001631
 5132 -0.0015975 -0.0005527 -0.0000358
 5133 -0.0016756 -0.0003804 -0.0003361
 5134 -0.0020043 -0.0013581 -0.0000863
 5135 -0.0022655 -0.0025650  0.0002608
 5136 -0.0020609 -0.0028675  0.0004168
 5137 -0.0012764  0.0003423 -0.0001758
 5138 -0.0013187  0.0004496 -0.0004957
 5139 -0.0020608 -0.0010608 -0.0003969
 5140 -0.0016819 -0.0001830 -0.0006753
 5141 -0.0015817  0.0000161 -0.0010400
 5142 -0.0019966 -0.0007370 -0.0007610
 5143 -0.0024153 -0.0016895 -0.0003140
 5144 -0.0024034 -0.0021607  0.0000193
 5145 -0.0012990  0.0005590 -0.0008340
 5146 -0.0011916  0.0006529 -0.0011784
 5147 -0.0017621 -0.0004174 -0.0011606
 5148 -0.0013414  0.0001940 -0.0014090
 5149 -0.0009329  0.0003236 -0.0017463
 5150 -0.0013100 -0.0001382 -0.0015615
 5151 -0.0017776 -0.0007302 -0.0011872
 5152 -0.0022311 -0.0011978 -0.0007251
 5153 -0.0009765  0.0007113 -0.0015044
 5154 -0.0006357  0.0007185 -0.0017819
 5155 -0.0006058  0.0000655 -0.0019043
 5156 -0.0003386  0.0003857 -0.0020032
 5157 -0.0009927 -0.0003393 -0.0016348
 5158 -0.0001634  0.0006673 -0.0019675
 5159 -0.0015300 -0.0009014 -0.0011309
 5160 -0.0022499 -0.0017279 -0.0003039
 5161 -0.0029871 -0.0026962  0.0003807
 5162 -0.0023397 -0.0015392 -0.0005655
 5163 -0.0031659 -0.0029796  0.0009662
 5164 -0.0036780 -0.0043945  0.0017461
 5165 -0.0042562 -0.0049183  0.0028517
 5166 -0.0042999 -0.0069189  0.0036341
 5167 -0.0053980 -0.0079981  0.0055717
 5168 -0.0062378 -0.0129686  0.0093296
 5169 -0.0042548 -0.0163910  0.0091994
 5170 -0.0046321 -0.0107075  0.0061321
 5171 -0.0060143 -0.0210439  0.0141401
 5172 -0.0024898 -0.0248312  0.0124864
 5173 -0.0033605 -0.0338895  0.0192051
 5174  0.0014259 -0.0367144  0.0149236
 5175  0.0030839 -0.0527574  0.0220836
 5176  0.0132207 -0.0760860  0.0185928
 5177  0.0161373 -0.0685385  0.0092648
 5178  0.0078907 -0.0519650  0.0146108
 5179  0.0004058 -0.0268526  0.0098080
 5180  0.0045778 -0.0371630  0.0103148
 5181  0.0063721 -0.0361120  0.0060435
 5182  0.0024373 -0.0274667  0.0068158
 5183 -0.0003211 -0.0202265  0.0062353
 5184 -0.0021252 -0.0188220  0.0080147
 5185  0.0103483 -0.0491501  0.0082200
 5186  0.0168908 -0.0610030  0.0023199
 5187  0.0163784 -0.0539773 -0.0028517
 5188  0.0112336 -0.0454284  0.0030782
 5189  0.0226791 -0.0700098 -0.0075167
 5190  0.0238679 -0.0819975 -0.0021361
 5191  0.0283583 -0.0872848 -0.0178265
 5192  0.0261088 -0.0734121 -0.0197887
 5193  0.0233407 -0.0623174 -0.0214710
 5194  0.0207506 -0.0600154 -0.0115027
 5195  0.0238186 -0.0970894  0.0054111
 5196  0.0298882 -0.1058378 -0.0155733
 5197  0.0290059 -0.0970616 -0.0365652
 5198  0.0283966 -0.0819762 -0.0335126
 5199  0.0235984 -0.0760561 -0.0497051
 5200  0.0252011 -0.0684904 -0.0448666
 5201  0.0265541 -0.0699895 -0.0320194
 5202  0.0246819 -0.0609406 -0.0417740
 5203  0.0229010 -0.0539036 -0.0398643
 5204  0.0239447 -0.0599836 -0.0313890
 5205  0.0220962 -0.0490490 -0.0475599
 5206  0.0211157 -0.0453154 -0.0456228
 5207  0.0215469 -0.0519095 -0.0501223
 5208  0.0196350 -0.0365826 -0.0503563
 5209  0.0202707 -0.0370339 -0.0495630
 5210  0.0195674 -0.0359735 -0.0484872
 5211  0.0186703 -0.0526786 -0.0531430
 5212  0.0174266 -0.0337833 -0.0502063
 5213  0.0200259 -0.0267033 -0.0489955
 5214  0.0203184 -0.0246857 -0.0478534
 5215  0.0231460 -0.0162505 -0.0445453
 5216  0.0214339 -0.0186467 -0.0471592
 5217  0.0194198 -0.0200084 -0.0485928
 5218  0.0189119 -0.0273043 -0.0492025
 5219  0.0200238 -0.0209425 -0.0450998
 5220  0.0250226 -0.0128583 -0.0402748
 5221  0.0311025 -0.0078738 -0.0364971
 5222  0.0273494 -0.0105400 -0.0414658
 5223  0.0374995 -0.0047762 -0.0337554
 5224  0.0322825 -0.0067319 -0.0389372
 5225  0.0438102 -0.0028329 -0.0318812
 5226  0.0499674 -0.0016054 -0.0306296
 5227  0.0427423 -0.0025327 -0.0357112
 5228  0.0374821 -0.0042126 -0.0370646
 5229  0.0559210 -0.0008106 -0.0298091
 5230  0.0479851 -0.0014222 -0.0347680
 5231  0.0616957 -0.0002977 -0.0292986
 5232  0.0531178 -0.0006771 -0.0341462
 5233  0.0673158  0.0000289 -0.0290134
 5234  0.0728015  0.0002330 -0.0288839
 5235  0.0630887  0.0001420 -0.0335535
 5236  0.0581494 -0.0001788 -0.0337690
 5237  0.0781940  0.0003555 -0.0288544
 5238  0.0679497  0.0003447 -0.0334545
 5239  0.0835170  0.0004225 -0.0288905
 5240  0.0727451  0.0004655 -0.0334369
 5241  0.0887889  0.0004518 -0.0289685
 5242  0.0940243  0.0004556 -0.0290714
 5243  0.0821877  0.0005540 -0.0335462
 5244  0.0774875  0.0005293 -0.0334739
 5245  0.0992341  0.0004424 -0.0291874
 5246  0.0868549  0.0005519 -0.0336397
 5247  0.1044268  0.0004183 -0.0293080
 5248  0.0914969  0.0005320 -0.0337441
 5249  0.1096084  0.0003877 -0.0294277
 5250  0.1147835  0.0003535 -0.0295426
 5251  0.1007275  0.0004627 -0.0339595
 5252  0.0961195  0.0005007 -0.0338524
 5253  0.1199555  0.0003180 -0.0296501
 5254  0.1053248  0.0004213 -0.0340621
 5255  0.1251265  0.0002827 -0.0297491
 5256  0.1099142  0.0003790 -0.0341580
 5257  0.1302982  0.0002486 -0.0298387
 5258  0.1354716  0.0002164 -0.0299188
 5259  0.1190777  0.0002974 -0.0343256
 5260  0.1144979  0.0003373 -0.0342461
 5261  0.1406473  0.0001866 -0.0299896
 5262  0.1236547  0.0002601 -0.0343966
 5263  0.1458256  0.0001593 -0.0300516
 5264  0.1282301  0.0002257 -0.0344592
 5265  0.1510066  0.0001347 -0.0301053
 5266  0.1561903  0.0001127 -0.0301515
 5267  0.1373780  0.0001666 -0.0345610
 5268  0.1328043  0.0001945 -0.0345138
 5269  0.1613766  0.0000933 -0.0301908
 5270  0.1419514  0.0001418 -0.0346015
 5271  0.1665654  0.0000763 -0.0302241
 5272  0.1465250  0.0001200 -0.0346358
 5273  0.1717563  0.0000615 -0.0302519
 5274  0.1769491  0.0000487 -0.0302751
 5275  0.1556727  0.0000849 -0.0346889
 5276  0.1510987  0.0001012 -0.0346647
 5277  0.1821437  0.0000378 -0.0302942
 5278  0.1602470  0.0000710 -0.0347089
 5279  0.1873398  0.0000285 -0.0303098
 5280  0.1648217  0.0000592 -0.0347253
 5281  0.1925372  0.0000206 -0.0303224
 5282  0.1977358  0.0000141 -0.0303326
 5283  0.1739723  0.0000412 -0.0347494
 5284  0.1693968  0.0000494 -0.0347386
 5285  0.2029352  8.58e-006 -0.0303406
 5286  0.1785480  0.0000344 -0.0347579
 5287  0.2081355  4.05e-006 -0.0303469
 5288  0.1831241  0.0000289 -0.0347647
 5289  0.2133364  3.31e-007 -0.0303517
 5290  0.2185378 -2.71e-006 -0.0303553
 5291  0.1922771  0.0000210 -0.0347739
 5292  0.1877005  0.0000245 -0.0347699
 5293  0.2237397 -5.18e-006 -0.0303581
 5294  0.1968540  0.0000182 -0.0347769
 5295  0.2289419 -7.17e-006 -0.0303600
 5296  0.2014310  0.0000161 -0.0347790
 5297  0.2341444 -8.78e-006 -0.0303614
 5298  0.2393472 -0.0000101 -0.0303623
 5299  0.2105855  0.0000133 -0.0347816
 5300  0.2060082  0.0000145 -0.0347806
 5301  0.2445500 -0.0000111 -0.0303628
 5302  0.2151630  0.0000125 -0.0347822
 5303  0.2497531 -0.0000119 -0.0303630
 5304  0.2197405  0.0000119 -0.0347826
 5305  0.2549562 -0.0000126 -0.0303631
 5306  0.2601594 -0.0000131 -0.0303630
 5307  0.2288958  0.0000115 -0.0347826
 5308  0.2243182  0.0000116 -0.0347827
 5309  0.2653626 -0.0000135 -0.0303628
 5310  0.2334736  0.0000114 -0.0347825
 5311  0.2705659 -0.0000139 -0.0303625
 5312  0.2380514  0.0000115 -0.0347822
 5313  0.2757692 -0.0000142 -0.0303621
 5314  0.2809725 -0.0000145 -0.0303618
 5315  0.2472070  0.0000119 -0.0347816
 5316  0.2426292  0.0000117 -0.0347819
 5317  0.2861758 -0.0000147 -0.0303614
 5318  0.2517849  0.0000121 -0.0347812
 5319  0.2913791 -0.0000149 -0.0303610
 5320  0.2563628  0.0000123 -0.0347808
 5321  0.2965823 -0.0000152 -0.0303607
 5322  0.3017856 -0.0000154 -0.0303603
 5323  0.2655185  0.0000129 -0.0347800
 5324  0.2609406  0.0000126 -0.0347804
 5325  0.3069889 -0.0000157 -0.0303599
 5326  0.2700964  0.0000131 -0.0347797
 5327  0.3121921 -0.0000159 -0.0303595
 5328  0.2746744  0.0000134 -0.0347793
 5329  0.3173953 -0.0000161 -0.0303591
 5330  0.3225985 -0.0000164 -0.0303587
 5331  0.2838302  0.0000138 -0.0347785
 5332  0.2792523  0.0000136 -0.0347789
 5333  0.3278017 -0.0000167 -0.0303584
 5334  0.2884081  0.0000141 -0.0347781
 5335  0.3330048 -0.0000169 -0.0303580
 5336  0.2929860  0.0000143 -0.0347777
 5337  0.3382080 -0.0000172 -0.0303576
 5338  0.3434111 -0.0000174 -0.0303572
 5339  0.3021420  0.0000148 -0.0347770
 5340  0.2975640  0.0000146 -0.0347773
 5341  0.3486142 -0.0000176 -0.0303569
 5342  0.3067199  0.0000151 -0.0347766
 5343  0.3538174 -0.0000178 -0.0303565
 5344  0.3112979  0.0000155 -0.0347763
 5345  0.3590205 -0.0000180 -0.0303563
 5346  0.3642237 -0.0000180 -0.0303561
 5347  0.3204541  0.0000164 -0.0347759
 5348  0.3158760  0.0000159 -0.0347761
 5349  0.3694270 -0.0000180 -0.0303560
 5350  0.3250322  0.0000171 -0.0347758
 5351  0.3746303 -0.0000178 -0.0303560
 5352  0.3296104  0.0000179 -0.0347760
 5353  0.3798337 -0.0000175 -0.0303563
 5354  0.3850372 -0.0000169 -0.0303568
 5355  0.3387670  0.0000203 -0.0347769
 5356  0.3341886  0.0000189 -0.0347763
 5357  0.3902409 -0.0000161 -0.0303577
 5358  0.3433455  0.0000219 -0.0347780
 5359  0.3954448 -0.0000150 -0.0303590
 5360  0.3479241  0.0000240 -0.0347795
 5361  0.4006490 -0.0000135 -0.0303610
 5362  0.4058535 -0.0000115 -0.0303637
 5363  0.3570818  0.0000299 -0.0347847
 5364  0.3525028  0.0000267 -0.0347817
 5365  0.4110585 -8.97e-006 -0.0303674
 5366  0.3616609  0.0000340 -0.0347887
 5367  0.4162639 -5.74e-006 -0.0303722
 5368  0.3662403  0.0000389 -0.0347939
 5369  0.4214701 -1.72e-006 -0.0303785
 5370  0.4266769  3.21e-006 -0.0303865
 5371  0.3753999  0.0000520 -0.0348091
 5372  0.3708199  0.0000448 -0.0348006
 5373  0.4318847  9.20e-006 -0.0303965
 5374  0.3799801  0.0000606 -0.0348198
 5375  0.4370936  0.0000164 -0.0304091
 5376  0.3845608  0.0000707 -0.0348330
 5377  0.4423038  0.0000249 -0.0304245
 5378  0.4475155  0.0000349 -0.0304433
 5379  0.3937232  0.0000964 -0.0348689
 5380  0.3891418  0.0000826 -0.0348492
 5381  0.4527289  0.0000465 -0.0304660
 5382  0.3983050  0.0001124 -0.0348926
 5383  0.4579443  0.0000598 -0.0304931
 5384  0.4028873  0.0001305 -0.0349209
 5385  0.4631619  0.0000749 -0.0305252
 5386  0.4683820  0.0000917 -0.0305628
 5387  0.4120530  0.0001734 -0.0349933
 5388  0.4074699  0.0001508 -0.0349543
 5389  0.4736050  0.0001101 -0.0306065
 5390  0.4166365  0.0001981 -0.0350385
 5391  0.4788311  0.0001298 -0.0306567
 5392  0.4212203  0.0002244 -0.0350903
 5393  0.4840605  0.0001505 -0.0307137
 5394  0.4892936  0.0001715 -0.0307776
 5395  0.4303885  0.0002796 -0.0352145
 5396  0.4258043  0.0002519 -0.0351489
 5397  0.4945303  0.0001920 -0.0308481
 5398  0.4349727  0.0003064 -0.0352867
 5399  0.4997710  0.0002105 -0.0309247
 5400  0.4395569  0.0003305 -0.0353650
 5401  0.5050155  0.0002255 -0.0310063
 5402  0.5102636  0.0002348 -0.0310909
 5403  0.4487243  0.0003611 -0.0355340
 5404  0.4441408  0.0003497 -0.0354481
 5405  0.5155148  0.0002357 -0.0311758
 5406  0.4533071  0.0003612 -0.0356198
 5407  0.5207686  0.0002248 -0.0312573
 5408  0.4578889  0.0003453 -0.0357016
 5409  0.5260236  0.0001983 -0.0313301
 5410  0.5312781  0.0001516 -0.0313876
 5411  0.4670476  0.0002443 -0.0358295
 5412  0.4624693  0.0003084 -0.0357739
 5413  0.5365296  0.0000797 -0.0314213
 5414  0.4716229  0.0001460 -0.0358595
 5415  0.5417745 -0.0000228 -0.0314207
 5416  0.4761937  6.36e-006 -0.0358524
 5417  0.5470080 -0.0001614 -0.0313732
 5418  0.5522232 -0.0003410 -0.0312639
 5419  0.4853114 -0.0004273 -0.0356698
 5420  0.4807577 -0.0001823 -0.0357946
 5421  0.5574099 -0.0005664 -0.0310756
 5422  0.4898520 -0.0007350 -0.0354586
 5423  0.5624446 -0.0008392 -0.0307970
 5424  0.4942739 -0.0011409 -0.0351390
 5425  0.5673447 -0.0011691 -0.0304116
 5426  0.5721422 -0.0015506 -0.0298835
 5427  0.5026810 -0.0021125 -0.0341213
 5428  0.4986426 -0.0016060 -0.0347396
 5429  0.5765706 -0.0019408 -0.0292218
 5430  0.5066606 -0.0027143 -0.0333588
 5431  0.5809468 -0.0024268 -0.0283773
 5432  0.5104691 -0.0033856 -0.0324110
 5433  0.5850154 -0.0029392 -0.0273509
 5434  0.5887804 -0.0034419 -0.0261633
 5435  0.5170410 -0.0047260 -0.0298950
 5436  0.5138744 -0.0040403 -0.0312717
 5437  0.5921572 -0.0039343 -0.0247713
 5438  0.5197859 -0.0054478 -0.0282991
 5439  0.5950805 -0.0044304 -0.0231979
 5440  0.5219088 -0.0061336 -0.0265324
 5441  0.5977545 -0.0048697 -0.0214380
 5442  0.6000236 -0.0051551 -0.0194650
 5443  0.5249998 -0.0072009 -0.0222836
 5444  0.5236257 -0.0067394 -0.0244986
 5445  0.4479710 -0.0071244 -0.0314685
 5446  0.4493840 -0.0079713 -0.0295279
 5447  0.3778797 -0.0099498 -0.0321690
 5448  0.3770184 -0.0089061 -0.0343556
 5449  0.3752853 -0.0077174 -0.0362769
 5450  0.4459152 -0.0061733 -0.0332470
 5451  0.4499940 -0.0087725 -0.0273557
 5452  0.4501797 -0.0095681 -0.0248301
 5453  0.3755526 -0.0120903 -0.0270177
 5454  0.3776009 -0.0109821 -0.0297598
 5455  0.4504371 -0.0096721 -0.0220902
 5456  0.5266260 -0.0073196 -0.0199834
 5457  0.5284663 -0.0073189 -0.0176836
 5458  0.4516197 -0.0095335 -0.0196507
 5459  0.3726518 -0.0115157 -0.0213440
 5460  0.3728305 -0.0127472 -0.0238022
 5461  0.6024348 -0.0052800 -0.0174418
 5462  0.6048034 -0.0053512 -0.0154383
 5463  0.6076077 -0.0052858 -0.0134195
 5464  0.5311637 -0.0073295 -0.0153633
 5465  0.6103725 -0.0051379 -0.0113412
 5466  0.5341855 -0.0071857 -0.0129444
 5467  0.4543322 -0.0096892 -0.0171651
 5468  0.4581869 -0.0095996 -0.0143187
 5469  0.3822322 -0.0120875 -0.0154287
 5470  0.3760537 -0.0127586 -0.0188352
 5471  0.4620385 -0.0087882 -0.0117161
 5472  0.3876957 -0.0109746 -0.0124881
 5473  0.5373726 -0.0067259 -0.0106696
 5474  0.5403256 -0.0061276 -0.0085024
 5475  0.4652606 -0.0079177 -0.0093721
 5476  0.3913795 -0.0099417 -0.0099650
 5477  0.6133611 -0.0048861 -0.0093563
 5478  0.6159220 -0.0044671 -0.0074645
 5479  0.4677842 -0.0071092 -0.0073613
 5480  0.5426602 -0.0054563 -0.0067075
 5481  0.5443817 -0.0047193 -0.0050480
 5482  0.4695818 -0.0061961 -0.0054727
 5483  0.3953798 -0.0077531 -0.0057187
 5484  0.3937770 -0.0089111 -0.0077034
 5485  0.6180914 -0.0039332 -0.0058312
 5486  0.6199238 -0.0034390 -0.0043873
 5487  0.6214316 -0.0029406 -0.0031566
 5488  0.5459481 -0.0040207 -0.0036739
 5489  0.6226534 -0.0024702 -0.0020802
 5490  0.5471446 -0.0033838 -0.0024381
 5491  0.6234103 -0.0019403 -0.0012486
 5492  0.6240852 -0.0015351 -0.0005217
 5493  0.5483737 -0.0020919 -0.0006809
 5494  0.5479226 -0.0026957 -0.0014645
 5495  0.6245546 -0.0011719  0.0000246
 5496  0.5489937 -0.0016061 -0.0000922
 5497  0.6248709 -0.0008426  0.0004293
 5498  0.5492539 -0.0011610  0.0003628
 5499  0.6250515 -0.0005689  0.0007166
 5500  0.6250684 -0.0003441  0.0009047
 5501  0.5494024 -0.0004236  0.0008906
 5502  0.5493644 -0.0007301  0.0006799
 5503  0.6250566 -0.0001650  0.0010138
 5504  0.5494265 -0.0001786  0.0010156
 5505  0.6250262 -0.0000267  0.0010613
 5506  0.5494404  0.0000104  0.0010734
 5507  0.6249844  0.0000755  0.0010619
 5508  0.6249361  0.0001472  0.0010282
 5509  0.5494501  0.0002487  0.0010504
 5510  0.5494475  0.0001503  0.0010804
 5511  0.6248848  0.0001936  0.0009706
 5512  0.5494496  0.0003131  0.0009947
 5513  0.6248330  0.0002199  0.0008978
 5514  0.5494471  0.0003503  0.0009224
 5515  0.6247825  0.0002305  0.0008163
 5516  0.6247344  0.0002294  0.0007314
 5517  0.5494384  0.0003666  0.0007547
 5518  0.5494432  0.0003664  0.0008406
 5519  0.6246895  0.0002198  0.0006468
 5520  0.5494328  0.0003554  0.0006688
 5521  0.6246483  0.0002046  0.0005652
 5522  0.5494268  0.0003364  0.0005858
 5523  0.6246108  0.0001858  0.0004886
 5524  0.6245773  0.0001651  0.0004181
 5525  0.5494142  0.0002861  0.0004352
 5526  0.5494205  0.0003126  0.0005075
 5527  0.6245475  0.0001439  0.0003542
 5528  0.5494079  0.0002586  0.0003696
 5529  0.6245212  0.0001229  0.0002972
 5530  0.5494018  0.0002313  0.0003110
 5531  0.6244984  0.0001029  0.0002470
 5532  0.6244786  0.0000843  0.0002033
 5533  0.5493904  0.0001808  0.0002140
 5534  0.5493959  0.0002052  0.0002592
 5535  0.6244617  0.0000672  0.0001656
 5536  0.5493852  0.0001585  0.0001750
 5537  0.6244473  0.0000519  0.0001335
 5538  0.5493804  0.0001384  0.0001416
 5539  0.6244351  0.0000384  0.0001064
 5540  0.6244249  0.0000265  0.0000837
 5541  0.5493722  0.0001048  0.0000896
 5542  0.5493761  0.0001205  0.0001133
 5543  0.6244165  0.0000163  0.0000649
 5544  0.5493687  0.0000912  0.0000699
 5545  0.6244095  7.49e-006  0.0000495
 5546  0.5493656  0.0000796  0.0000537
 5547  0.6244038  5.52e-008  0.0000370
 5548  0.6243992 -6.18e-006  0.0000269
 5549  0.5493605  0.0000614  0.0000298
 5550  0.5493629  0.0000697  0.0000404
 5551  0.6243956 -0.0000114  0.0000189
 5552  0.5493585  0.0000544  0.0000213
 5553  0.6243927 -0.0000156  0.0000127
 5554  0.5493568  0.0000487  0.0000146
 5555  0.6243904 -0.0000191  7.84e-006
 5556  0.6243887 -0.0000219  4.18e-006
 5557  0.5493541  0.0000403  5.37e-006
 5558  0.5493553  0.0000441  9.35e-006
 5559  0.6243874 -0.0000241  1.46e-006
 5560  0.5493531  0.0000373  2.39e-006
 5561  0.6243864 -0.0000259 -5.04e-007
 5562  0.5493522  0.0000349  2.16e-007
