          x          y   sigma_xx   sigma_yy   sigma_xy
  2.3500000  0.2753000  0.0018562 -0.0006078  0.0005258
  2.3500000  0.2630000  0.0006377 -0.0012208  0.0009507
  2.3500000  0.2508000 -0.0001846 -0.0020174  0.0013957
  2.3625000  0.2508000  0.0001934 -0.0016426  0.0005694
  2.3625000  0.2876000  0.0036839 -0.0001759 -0.0000542
  2.3500000  0.2876000  0.0035380 -0.0002175  0.0001932
  2.3625000  0.3000000  0.0049371  0.0000303 -0.0000643
  2.3500000  0.3000000  0.0049415  0.0000275  0.0000600
  2.3375000  0.2876000  0.0031259 -0.0002603  0.0004933
  2.3375000  0.2753000  0.0013252 -0.0007259  0.0010957
  2.3375000  0.3000000  0.0046584  0.0000229  0.0002115
  2.3250000  0.3000000  0.0040310  0.0000164  0.0003905
  2.3250000  0.2876000  0.0023975 -0.0003030  0.0008468
  2.3250000  0.2753000  0.0005181 -0.0008434  0.0017648
  2.3375000  0.2630000  0.0000677 -0.0014555  0.0017525
  2.3250000  0.2630000 -0.0007396 -0.0016890  0.0026929
  2.3250000  0.2508000 -0.0014734 -0.0027883  0.0035635
  2.3375000  0.2508000 -0.0007290 -0.0024036  0.0023926
  2.3125000  0.2630000 -0.0018219 -0.0019118  0.0037686
  2.3125000  0.2753000 -0.0006071 -0.0009555  0.0025306
  2.3000000  0.2753000 -0.0020904 -0.0010567  0.0033860
  2.3000000  0.2630000 -0.0032149 -0.0021129  0.0049701
  2.3000000  0.2508000 -0.0037031 -0.0034948  0.0064103
  2.3125000  0.2508000 -0.0024538 -0.0031578  0.0049067
  2.3125000  0.2876000  0.0013030 -0.0003437  0.0012524
  2.3000000  0.2876000 -0.0002048 -0.0003807  0.0017064
  2.3125000  0.3000000  0.0030023  0.0000081  0.0005965
  2.3000000  0.3000000  0.0015179 -0.0000019  0.0008277
  2.2875000  0.2876000 -0.0021718 -0.0004127  0.0022051
  2.2875000  0.2753000 -0.0039695 -0.0011418  0.0043200
  2.2875000  0.3000000 -0.0004715 -0.0000126  0.0010811
  2.2750000  0.3000000 -0.0030057 -0.0000252  0.0013504
  2.2750000  0.2876000 -0.0046268 -0.0004366  0.0027384
  2.2750000  0.2752000 -0.0062710 -0.0012075  0.0053198
  2.2875000  0.2630000 -0.0049519 -0.0022848  0.0062851
  2.2750000  0.2630000 -0.0070621 -0.0024181  0.0076935
  2.2750000  0.2507000 -0.0071359 -0.0039948  0.0098150
  2.2875000  0.2508000 -0.0052534 -0.0037779  0.0080540
  2.2625000  0.2630000 -0.0095604 -0.0024955  0.0091559
  2.2625000  0.2507000 -0.0093626 -0.0041259  0.0116508
  2.2625000  0.2753000 -0.0090232 -0.0012462  0.0063584
  2.2500000  0.2752000 -0.0122322 -0.0012605  0.0074284
  2.2500000  0.2629000 -0.0124657 -0.0025222  0.0106575
  2.2500000  0.2507000 -0.0119593 -0.0041677  0.0135277
  2.2625000  0.2876000 -0.0076018 -0.0004500  0.0032916
  2.2625000  0.3000000 -0.0061175 -0.0000396  0.0016351
  2.2500000  0.3000000 -0.0098253 -0.0000519  0.0019224
  2.2500000  0.2876000 -0.0111129 -0.0004560  0.0038619
  2.2375000  0.2630000 -0.0157811 -0.0024881  0.0121467
  2.2375000  0.2752000 -0.0159058 -0.0012400  0.0084836
  2.2250000  0.2752000 -0.0200439 -0.0011959  0.0095152
  2.2250000  0.2630000 -0.0195026 -0.0023989  0.0135957
  2.2250000  0.2507000 -0.0182573 -0.0039610  0.0172130
  2.2375000  0.2507000 -0.0149268 -0.0041101  0.0153950
  2.2375000  0.2876000 -0.0151596 -0.0004501  0.0044305
  2.2250000  0.2876000 -0.0197377 -0.0004314  0.0049782
  2.2375000  0.3000000 -0.0141326 -0.0000683  0.0022101
  2.2250000  0.3000000 -0.0190329 -0.0000857  0.0024911
  2.2125000  0.2876000 -0.0248361 -0.0004050  0.0054974
  2.2125000  0.3000000 -0.0245071 -0.0001004  0.0027610
  2.2000000  0.3000000 -0.0305178 -0.0001187  0.0030056
  2.2000000  0.2876000 -0.0304171 -0.0003729  0.0059880
  2.2000000  0.2752000 -0.0296258 -0.0010364  0.0114245
  2.2125000  0.2753000 -0.0246219 -0.0011247  0.0104961
  2.2125000  0.2630000 -0.0236117 -0.0022542  0.0149701
  2.2000000  0.2630000 -0.0280973 -0.0020758  0.0162630
  2.2000000  0.2508000 -0.0259577 -0.0034334  0.0205603
  2.2125000  0.2508000 -0.0219396 -0.0037279  0.0189423
  2.1875000  0.2630000 -0.0329216 -0.0018658  0.0174353
  2.1875000  0.2508000 -0.0302699 -0.0030841  0.0220341
  2.1875000  0.2753000 -0.0350143 -0.0009293  0.0122545
  2.1750000  0.2753000 -0.0407575 -0.0008142  0.0129991
  2.1750000  0.2630000 -0.0380489 -0.0016339  0.0184804
  2.1750000  0.2508000 -0.0348534 -0.0027017  0.0233371
  2.1875000  0.2876000 -0.0364416 -0.0003317  0.0064241
  2.1875000  0.3000000 -0.0370216 -0.0001400  0.0032338
  2.1750000  0.3000000 -0.0439697 -0.0001589  0.0034325
  2.1750000  0.2876000 -0.0428785 -0.0002899  0.0068123
  2.1625000  0.2630000 -0.0434508 -0.0013945  0.0193902
  2.1625000  0.2753000 -0.0468093 -0.0006944  0.0136451
  2.1500000  0.2753000 -0.0531292 -0.0005760  0.0141901
  2.1500000  0.2630000 -0.0490841 -0.0011570  0.0201562
  2.1500000  0.2508000 -0.0446934 -0.0019220  0.0254336
  2.1625000  0.2508000 -0.0396740 -0.0023100  0.0244725
  2.1625000  0.2876000 -0.0496641 -0.0002466  0.0071516
  2.1500000  0.2876000 -0.0567542 -0.0002030  0.0074370
  2.1625000  0.3000000 -0.0513036 -0.0001819  0.0036034
  2.1500000  0.3000000 -0.0589643 -0.0002061  0.0037465
  2.1375000  0.2876000 -0.0640974 -0.0001616  0.0076692
  2.1375000  0.2753000 -0.0596767 -0.0004612  0.0146374
  2.1375000  0.3000000 -0.0668952 -0.0002325  0.0038625
  2.1250000  0.3000000 -0.0750414 -0.0002597  0.0039533
  2.1250000  0.2876000 -0.0716456 -0.0001244  0.0078527
  2.1250000  0.2753000 -0.0664095 -0.0003547  0.0149870
  2.1375000  0.2630000 -0.0549195 -0.0009266  0.0207809
  2.1250000  0.2630000 -0.0609270 -0.0007233  0.0212822
  2.1250000  0.2509000 -0.0552129 -0.0012153  0.0268488
  2.1375000  0.2509000 -0.0498798 -0.0015512  0.0262149
  2.1125000  0.2631000 -0.0670434 -0.0005366  0.0216660
  2.1125000  0.2753000 -0.0732965 -0.0002601  0.0152490
  2.1000000  0.2753000 -0.0802947 -0.0001816  0.0154492
  2.1000000  0.2630000 -0.0732817 -0.0003778  0.0219640
  2.1000000  0.2509000 -0.0661507 -0.0006420  0.0276921
  2.1125000  0.2509000 -0.0606307 -0.0009036  0.0273279
  2.1125000  0.2876000 -0.0793551 -0.0000882  0.0079917
  2.1000000  0.2876000 -0.0871848 -0.0000605  0.0080888
  2.1125000  0.3000000 -0.0833518 -0.0002892  0.0040200
  2.1000000  0.3000000 -0.0917814 -0.0003198  0.0040678
  2.0875000  0.2876000 -0.0950982 -0.0000339  0.0081548
  2.0875000  0.2753000 -0.0873711 -0.0001114  0.0155800
  2.0875000  0.3000000 -0.1002911 -0.0003515  0.0040968
  2.0750000  0.3000000 -0.1088483 -0.0003845  0.0041134
  2.0750000  0.2876000 -0.1030681 -0.0000160  0.0081906
  2.0750000  0.2753000 -0.0945152 -0.0000584  0.0156648
  2.0875000  0.2631000 -0.0795686 -0.0002400  0.0221557
  2.0750000  0.2630000 -0.0859412 -0.0001317  0.0222926
  2.0750000  0.2509000 -0.0773335 -0.0002392  0.0281195
  2.0875000  0.2509000 -0.0717146 -0.0004178  0.0279471
  2.0625000  0.2631000 -0.0923192 -0.0000410  0.0223515
  2.0625000  0.2753000 -0.1016887 -0.0000121  0.0157006
  2.0500000  0.2753000 -0.1088935  0.0000181  0.0157101
  2.0500000  0.2630000 -0.0987571  0.0000227  0.0223828
  2.0500000  0.2509000 -0.0886503  0.0000155  0.0282538
  2.0625000  0.2509000 -0.0829757 -0.0000895  0.0282127
  2.0625000  0.2876000 -0.1110679  0.0000022  0.0082065
  2.0500000  0.2876000 -0.1190807  0.0000115  0.0082029
  2.0625000  0.3000000 -0.1174267 -0.0004178  0.0041173
  2.0500000  0.3000000 -0.1260061 -0.0004520  0.0041142
  2.0375000  0.2876000 -0.1270889  0.0000230  0.0081890
  2.0375000  0.2753000 -0.1160957  0.0000451  0.0156882
  2.0375000  0.3000000 -0.1345707 -0.0004859  0.0041033
  2.0250000  0.3000000 -0.1431100 -0.0005205  0.0040898
  2.0250000  0.2876000 -0.1350846  0.0000257  0.0081638
  2.0250000  0.2753000 -0.1233074  0.0000581  0.0156554
  2.0375000  0.2631000 -0.1051696  0.0000749  0.0223600
